seller_hash,shipmentid,voided,shipdate
8699639424897153447,244156944,False,2017-11-06
8699639424897153447,267998703,False,2018-02-01
-971513923887404724,188471813,False,2017-02-24
8699639424897153447,311331861,False,2018-08-13
-971513923887404724,236808520,False,2017-10-02
-971513923887404724,240489537,False,2017-10-19
8699639424897153447,266253052,False,2018-01-24
1031684150227433387,237889770,False,2018-03-07
1031684150227433387,254416989,False,2018-06-18
8699639424897153447,305636550,False,2018-07-16
7893079326869887818,136366463,False,2018-08-08
-971513923887404724,235016586,False,2017-09-25
8699639424897153447,248398287,False,2017-11-22
-971513923887404724,262455691,False,2018-01-08
1031684150227433387,231248290,False,2018-01-26
-971513923887404724,269052448,False,2018-02-06
-971513923887404724,224605265,False,2017-08-07
-971513923887404724,230559520,False,2017-09-04
-971513923887404724,179700910,False,2017-01-17
1031684150227433387,182827234,False,2017-04-26
1031684150227433387,255308019,False,2018-06-21
7893079326869887818,125911042,False,2018-06-25
-971513923887404724,300383892,False,2018-06-21
8699639424897153447,267514566,False,2018-01-30
-971513923887404724,192252709,False,2017-03-13
8699639424897153447,215335611,False,2017-06-23
-971513923887404724,235858215,False,2017-09-28
8699639424897153447,297228554,False,2018-06-07
1031684150227433387,214161585,False,2017-10-31
8699639424897153447,217142254,False,2017-07-03
1031684150227433387,164725294,False,2017-01-14
8699639424897153447,266282775,False,2018-01-24
8699639424897153447,309869365,False,2018-08-06
-971513923887404724,208855924,False,2017-05-24
-971513923887404724,215279596,False,2017-06-23
8699639424897153447,184373639,False,2017-02-06
-971513923887404724,202874326,False,2017-04-28
1031684150227433387,246352094,False,2018-04-27
-971513923887404724,188372119,False,2017-02-23
1031684150227433387,213740066,False,2017-10-27
8699639424897153447,302522031,False,2018-07-02
-971513923887404724,229930502,False,2017-08-30
-971513923887404724,224029911,False,2017-08-03
8699639424897153447,261618010,False,2018-01-04
8699639424897153447,213640632,False,2017-06-15
-971513923887404724,191584901,False,2017-03-09
-971513923887404724,245695606,False,2017-11-13
8699639424897153447,296770198,False,2018-06-05
-971513923887404724,306401837,False,2018-07-19
